t,x(t),v(t),F(t) (added)
2.299999,1.027802,1.183875,-102.7802
2.319999,1.051069,1.163319,-105.1069
2.339998,1.073915,1.142297,-107.3915
2.359998,1.096331,1.120819,-109.6331
2.379998,1.118309,1.098892,-111.8309
2.399998,1.139839,1.076526,-113.9839
2.419998,1.160914,1.053729,-116.0914
2.439998,1.181524,1.030511,-118.1524
2.459998,1.201662,1.006881,-120.1662
2.479998,1.221319,0.9828474,-122.1319
2.499998,1.240487,0.958421,-124.0487
2.519998,1.259159,0.9336113,-125.9159
2.539998,1.277328,0.9084281,-127.7328
2.559998,1.294986,0.8828815,-129.4986
2.579998,1.312125,0.8569818,-131.2125
2.599998,1.32874,0.8307393,-132.874
2.619998,1.344823,0.8041645,-134.4823
2.639998,1.360369,0.7772681,-136.0369
2.659998,1.37537,0.7500607,-137.537
2.679998,1.389821,0.7225533,-138.9821
2.699998,1.403716,0.6947569,-140.3716
2.719998,1.41705,0.6666826,-141.705
2.739998,1.429816,0.6383416,-142.9816
2.759998,1.442011,0.6097453,-144.2011
2.779998,1.453629,0.580905,-145.3629
2.799998,1.464666,0.5518324,-146.4666
2.819998,1.475117,0.5225391,-147.5117
2.839998,1.484978,0.4930368,-148.4978
2.859998,1.494244,0.4633372,-149.4244
2.879998,1.502913,0.4334524,-150.2914
2.899998,1.510981,0.4033941,-151.0981
2.919998,1.518445,0.3731745,-151.8445
2.939998,1.525301,0.3428056,-152.5301
2.959998,1.531547,0.3122996,-153.1547
2.979998,1.53718,0.2816686,-153.718
2.999998,1.542199,0.250925,-154.2199
3.019998,1.5466,0.2200811,-154.66
3.039998,1.550383,0.1891491,-155.0383
3.059998,1.553546,0.1581414,-155.3546
3.079998,1.556087,0.1270705,-155.6087
3.099998,1.558007,0.09594873,-155.8007
3.119998,1.559302,0.06478859,-155.9302
3.139998,1.559974,0.03360255,-155.9974
3.159998,1.560022,0.002403067,-156.0022
3.179998,1.559447,-0.02879738,-155.9447
3.199998,1.558247,-0.05998631,-155.8247
3.219998,1.556424,-0.09115124,-155.6424
3.239998,1.553978,-0.1222797,-155.3978
3.259998,1.550911,-0.1533593,-155.0911
3.279998,1.547224,-0.1843775,-154.7224
3.299998,1.542917,-0.215322,-154.2917
3.319998,1.537994,-0.2461803,-153.7994
3.339998,1.532455,-0.2769402,-153.2455
3.359998,1.526303,-0.3075893,-152.6303
3.379997,1.519541,-0.3381153,-151.9541
3.399997,1.512171,-0.3685061,-151.2171
3.419997,1.504196,-0.3987495,-150.4196
3.439997,1.495619,-0.4288335,-149.5619
3.459997,1.486444,-0.4587458,-148.6444
3.479997,1.476675,-0.4884747,-147.6674
3.499997,1.466314,-0.5180082,-146.6314
3.519997,1.455368,-0.5473345,-145.5368
3.539997,1.443839,-0.5764418,-144.3839
3.559997,1.431733,-0.6053186,-143.1732
3.579997,1.419053,-0.6339533,-141.9053
3.599997,1.405807,-0.6623343,-140.5807
3.619997,1.391998,-0.6904504,-139.1998
3.639997,1.377632,-0.7182904,-137.7632
3.659997,1.362715,-0.7458431,-136.2715
3.679997,1.347253,-0.7730973,-134.7253
3.699997,1.331252,-0.8000424,-133.1252
3.719997,1.314719,-0.8266674,-131.4719
3.739997,1.29766,-0.8529618,-129.766
3.759997,1.280082,-0.878915,-128.0081
3.779997,1.261991,-0.9045166,-126.1991
3.799997,1.243396,-0.9297564,-124.3396
3.819997,1.224304,-0.9546243,-122.4304
3.839997,1.204721,-0.9791104,-120.4721
3.859997,1.184657,-1.003205,-118.4657
3.879997,1.164119,-1.026898,-116.4119
3.899997,1.143116,-1.05018,-114.3116
3.919997,1.121655,-1.073043,-112.1655
3.939997,1.099745,-1.095476,-109.9745
3.959997,1.077396,-1.117471,-107.7396
3.979997,1.054616,-1.139019,-105.4616
3.999997,1.031413,-1.160111,-103.1413
4.019997,1.007799,-1.180739,-100.7799
4.039997,0.9837807,-1.200895,-98.37807
4.059997,0.9593693,-1.220571,-95.93693
4.079997,0.9345741,-1.239758,-93.45741
4.099997,0.9094051,-1.25845,-90.94051
4.119997,0.8838723,-1.276638,-88.38723
4.139997,0.857986,-1.294315,-85.79861
4.159997,0.8317565,-1.311475,-83.17565
4.179997,0.8051943,-1.32811,-80.51943
4.199997,0.7783101,-1.344214,-77.83101
4.219997,0.7511145,-1.35978,-75.11145
4.239997,0.7236184,-1.374802,-72.36185
4.259997,0.695833,-1.389275,-69.5833
4.279997,0.6677691,-1.403191,-66.77692
4.299997,0.6394382,-1.416547,-63.94382
4.319997,0.6108515,-1.429336,-61.08515
4.339997,0.5820205,-1.441553,-58.20205
4.359997,0.5529566,-1.453193,-55.29566
4.379997,0.5236715,-1.464252,-52.36715
4.399997,0.494177,-1.474726,-49.4177
4.419997,0.4644848,-1.484609,-46.44848
4.439997,0.4346068,-1.493899,-43.46068
4.459997,0.404555,-1.502591,-40.4555
4.479997,0.3743413,-1.510682,-37.43414
4.499997,0.343978,-1.518169,-34.3978
4.519997,0.313477,-1.525049,-31.3477
4.539997,0.2828506,-1.531318,-28.28506
4.559997,0.2521111,-1.536975,-25.21111
4.579997,0.2212708,-1.542017,-22.12708
4.599997,0.1903419,-1.546443,-19.03419
4.619997,0.1593369,-1.55025,-15.93369
4.639997,0.1282682,-1.553436,-12.82682
4.659997,0.09714815,-1.556002,-9.714815
4.679996,0.06598926,-1.557945,-6.598926
4.699996,0.03480397,-1.559264,-3.480397
4.719996,0.003604759,-1.55996,-0.3604758
4.739996,-0.02759589,-1.560033,2.759589
4.759996,-0.05878551,-1.559481,5.878551
4.779996,-0.0899516,-1.558305,8.99516
4.799996,-0.1210817,-1.556506,12.10817
4.819996,-0.1521634,-1.554084,15.21634
4.839996,-0.1831842,-1.551041,18.31842
4.859996,-0.2141318,-1.547377,21.41318
4.879996,-0.2449937,-1.543095,24.49937
4.899996,-0.2757576,-1.538195,27.57576
4.919996,-0.3064112,-1.53268,30.64112
4.939996,-0.3369422,-1.526552,33.69422
4.959996,-0.3673384,-1.519813,36.73384
4.979996,-0.3975878,-1.512466,39.75878
4.999996,-0.427678,-1.504514,42.7678
5.019996,-0.4575973,-1.495961,45.75973
5.039996,-0.4873334,-1.486809,48.73334
5.059996,-0.5168747,-1.477062,51.68747
5.079996,-0.5462092,-1.466725,54.62091
5.099996,-0.5753252,-1.4558,57.53252
5.119996,-0.6042111,-1.444294,60.42111
5.139996,-0.6328553,-1.43221,63.28553
5.159996,-0.6612464,-1.419553,66.12463
5.179996,-0.6893729,-1.406328,68.93729
5.199996,-0.7172237,-1.39254,71.72237
5.219996,-0.7447876,-1.378196,74.47876
5.239996,-0.7720536,-1.3633,77.20536
5.259996,-0.7990108,-1.347859,79.90108
5.279996,-0.8256483,-1.331879,82.56483
5.299996,-0.8519556,-1.315366,85.19556
5.319996,-0.8779221,-1.298326,87.79221
5.339996,-0.9035375,-1.280768,90.35374
5.359996,-0.9287914,-1.262697,92.87914
5.379996,-0.9536738,-1.244122,95.36739
5.399996,-0.9781748,-1.225048,97.81748
5.419996,-1.002285,-1.205485,100.2285
5.439996,-1.025993,-1.185439,102.5993
5.459996,-1.049292,-1.164919,104.9292
5.479996,-1.07217,-1.143933,107.217
5.499996,-1.09462,-1.12249,109.462
5.519996,-1.116632,-1.100598,111.6632
5.539996,-1.138198,-1.078265,113.8198
5.559996,-1.159308,-1.055501,115.9308
5.579996,-1.179954,-1.032315,117.9954
5.599996,-1.200128,-1.008716,120.0128
